size, p, time
1, 2, 15.6332
1, 4, 19.7511
1, 8, 27.0593
1, 16, 41.7785
1, 32, 68.5710
8, 2, 16.0358
8, 4, 20.3925
8, 8, 30.7020
8, 16, 45.8891
8, 32, 76.1446
64, 2, 19.8510
64, 4, 25.1503
64, 8, 37.1602
64, 16, 58.3987
64, 32, 101.3013
512, 2, 21.4379
512, 4, 30.3413
512, 8, 48.8870
512, 16, 83.6720
512, 32, 149.6407
4096, 2, 35.1700
4096, 4, 59.4071
4096, 8, 106.1766
4096, 16, 189.6354
4096, 32, 359.1267
32768, 2, 74.4168
32768, 4, 137.1513
32768, 8, 295.2905
32768, 16, 567.6759
32768, 32, 1094.9221
